#{"t_start": 1760777453.242622, "env_id": "None"}
r,l,t
-2.608114,3,0.006486
-1.070711,4,0.00714
15.479289,19,0.009009
-1.472383,4,0.009628
-0.472383,5,0.012238
-3.608114,2,0.012687
3.611219,9,0.013743
3.621969,9,0.014766
-3.608114,2,0.017015
-1.65,4,0.017899
15.576393,19,0.019867
-1.65,4,0.020413
0.838197,6,0.023187
13.438197,18,0.04187
11.938197,16,0.079497
4.429289,9,0.101685
5.353706,8,0.123415
12.241886,17,0.159097
-3.608114,2,0.163445
7.759431,13,0.190298
-3.608114,2,0.196662
10.038197,15,0.229223
-0.608114,5,0.240463
4.73991,10,0.261433
-0.361803,5,0.273978
7.088197,12,0.297908
3.519503,9,0.316847
-2.608114,3,0.324252
-2.608114,3,0.332384
3.35,9,0.351506
32.003685,34,0.421786
13.482732,19,0.459139
8.391886,14,0.490856
-3.608114,2,0.494789
-1.608114,4,0.502572
10.579289,15,0.532418
-2.461803,3,0.541847
7.345458,10,0.562377
1.597169,7,0.577425
2.731796,8,0.594366
1.738197,7,0.611064
5.589513,11,0.633762
-3.608114,2,0.638446
7.717544,13,0.66602
4.391886,10,0.69107
-3.608114,2,0.695472
5.438197,10,0.71583
-0.020711,5,0.726589
24.617706,27,0.790617
1.888197,7,0.809311
5.9,11,0.835708
-0.65,5,0.848207
33.45,37,0.946724
4.391886,10,0.970997
16.841886,21,1.0232
15.038197,20,1.069815
-1.261803,4,1.081465
-3.608114,2,1.086374
-1.65,4,1.095784
-2.608114,3,1.103247
3.391886,9,1.12393
-3.608114,2,1.128107
5.7,11,1.152647
-2.65,3,1.15956
17.64452,23,1.214923
12.579289,17,1.256271
-3.608114,2,1.260991
17.05,20,1.305957
0.688197,6,1.322025
16.6,21,1.363083
5.94255,11,1.384895
5.788197,11,1.406736
6.988197,12,1.43256
39.417544,44,1.517241
12.47082,18,1.5518
9.788197,15,1.582468
3.391886,9,1.602401
30.8,34,1.670749
-1.608114,4,1.678786
29.2,33,1.763613
-1.411803,4,1.77658
17.05,21,1.826572
-0.65,5,1.8373
26.865076,29,1.899131
4.9,10,1.923848
-0.65,5,1.934933
0.391886,6,1.947582
-1.608114,4,1.95727
-0.211803,5,1.969408
13.35,18,2.007555
2.391886,8,2.025797
24.379289,27,2.083879
-2.65,3,2.09281
-0.65,5,2.103317
-3.608114,2,2.107848
12.225637,18,2.146885
59.662685,63,2.28099
13.357724,18,2.321187
1.788197,7,2.33767
4.938197,10,2.360834
-3.608114,2,2.367556
-0.65,5,2.379728
0.391886,6,2.392181
-1.411803,4,2.400437
-0.261803,5,2.412949
13.005218,15,2.443742
16.988197,21,2.485955
5.391886,11,2.508303
-3.608114,2,2.514333
22.463855,27,2.567916
9.829289,14,2.597364
-1.070711,4,2.606957
16.529289,20,2.648787
5.438197,10,2.670377
2.605741,8,2.686268
9.188197,14,2.714655
11.087048,16,2.749255
0.35,6,2.76238
3.279289,8,2.778891
14.633383,20,2.821136
16.699477,20,2.863615
11.35,17,2.89781
-1.411803,4,2.906821
-2.608114,3,2.912584
9.527208,13,2.942064
9.138197,14,2.974157
2.621969,8,2.990342
1.838197,7,3.005067
23.75,27,3.067087
-1.608114,4,3.076243
1.731796,7,3.092379
-3.608114,2,3.0974
1.391886,7,3.114444
-2.65,3,3.121409
4.738197,10,3.142937
-2.461803,3,3.149825
3.938197,9,3.174126
-0.020711,5,3.185184
5.391886,11,3.20996
5.329289,10,3.233132
-2.65,3,3.243248
-1.65,4,3.251712
1.35,7,3.266128
-2.65,3,3.273216
-2.461803,3,3.281737
-2.608114,3,3.289139
10.55,14,3.319064
8.597627,14,3.347725
-1.608114,4,3.359168
4.671328,10,3.38084
16.177208,19,3.42786
17.913003,20,3.480317
19.0,24,3.546552
-2.461803,3,3.553983
-1.411803,4,3.562761
7.688197,12,3.589341
0.029289,5,3.603113
14.35,19,3.644474
68.73558,75,3.799705
16.229289,20,3.843136
9.588522,15,3.883353
4.35,10,3.906262
-1.070711,4,3.916428
8.772666,12,3.946261
1.391886,7,3.963746
-0.608114,5,3.975916
4.838197,10,3.997957
2.391886,8,4.014885
19.875212,24,4.072525
3.391886,9,4.091058
-1.65,4,4.099182
4.329289,9,4.121337
26.27982,29,4.193136
1.621969,7,4.210816
21.9,27,4.279458
-1.608114,4,4.289325
-3.608114,2,4.297145
8.788197,13,4.33224
6.391886,12,4.362414
-1.608114,4,4.372303
20.9,25,4.432296
9.391886,15,4.463355
-0.472383,5,4.474481
4.95,10,4.495276
-2.461803,3,4.504297
9.65,13,4.530557
13.526393,17,4.566588
8.443888,14,4.599309
-1.65,4,4.612008
-1.65,4,4.622057
1.709632,7,4.638033
-1.070711,4,4.647131
0.511389,6,4.662431
4.738197,10,4.682949
0.613855,6,4.696279
6.038197,11,4.719686
2.85,8,4.738917
12.888197,17,4.77412
21.682803,27,4.828333
20.376393,23,4.881526
14.656264,19,4.926064
19.4,22,4.974967
30.465076,33,5.054944
3.938197,9,5.073278
2.329289,7,5.090447
2.279289,7,5.105236
-1.65,4,5.113568
12.413604,15,5.145299
4.888197,10,5.168755
-1.261803,4,5.177306
14.725736,17,5.213523
21.227208,25,5.265463
21.725368,27,5.327238
8.779559,11,5.350328
2.621969,8,5.367831
11.041886,16,5.431625
20.911296,23,5.486806
18.358539,24,5.537474
15.25,19,5.574825
0.391886,6,5.587168
0.688197,6,5.601928
-2.461803,3,5.608595
-2.65,3,5.614468
16.879289,21,5.657546
7.126393,10,5.683089
-0.608114,5,5.695786
28.15,29,5.779874
2.527617,8,5.801053
-1.472383,4,5.813296
-3.608114,2,5.817547
9.351472,12,5.845093
1.738197,7,5.861732
2.229289,7,5.879771
7.767544,13,5.90934
26.81898,29,5.974777
1.738197,7,5.992316
6.941886,12,6.024863
-3.608114,2,6.030132
5.35,11,6.058027
6.391886,12,6.084387
1.079289,6,6.099864
11.783326,15,6.135298
0.527617,6,6.148237
9.572511,15,6.18274
-1.608114,4,6.194549
14.129289,19,6.237309
10.391886,16,6.270957
-3.608114,2,6.275399
5.613855,11,6.302552
15.462706,21,6.348378
5.479289,10,6.37071
-2.608114,3,6.377419
16.983123,23,6.430433
27.716548,31,6.497903
2.788197,8,6.515414
-2.461803,3,6.522569
3.9,9,6.543689
10.35,16,6.577416
-1.608114,4,6.585848
-1.65,4,6.59412
-1.65,4,6.604823
-1.65,4,6.613562
1.709632,7,6.630251
16.527967,22,6.679972
-1.608114,4,6.692575
4.391886,10,6.712926
2.079289,7,6.728586
23.560534,26,6.789418
2.391886,8,6.809945
21.460878,27,6.87492
12.661615,18,6.917166
0.35,6,6.932836
4.35,10,6.955873
0.129289,5,6.967267
22.32196,28,7.025487
-1.608114,4,7.033608
0.621969,6,7.047848
0.391886,6,7.061554
-1.261803,4,7.070587
2.788197,8,7.087307
9.888197,14,7.118891
-1.261803,4,7.12678
4.838197,10,7.146528
12.710534,16,7.179875
-1.411803,4,7.190781
9.188197,14,7.221579
1.738197,7,7.237407
2.709632,8,7.256102
