#{"t_start": 1760777147.9701302, "env_id": "None"}
r,l,t
1.738197,7,0.014356
7.626393,11,0.019261
4.838197,10,0.023942
3.640963,9,0.027916
13.238197,18,0.035381
14.9868,21,0.044061
5.0,10,0.04839
2.788197,8,0.052217
-1.411803,4,0.054429
-2.461803,3,0.0559
-1.608114,4,0.057823
-3.608114,2,0.058869
-2.608114,3,0.060427
2.641496,8,0.063589
-0.65,5,0.065939
0.391886,6,0.06863
14.532716,20,0.076387
3.391886,9,0.080143
-3.608114,2,0.08117
19.050793,23,0.090626
-2.461803,3,0.092047
1.605741,7,0.094966
2.391886,8,0.098201
2.788197,8,0.101664
5.279289,10,0.106097
8.288197,13,0.11138
6.15,11,0.115399
-2.461803,3,0.117218
4.506336,10,0.121922
4.538197,9,0.125494
-3.608114,2,0.126644
-2.461803,3,0.128016
4.788197,10,0.131626
4.938197,10,0.135567
0.391886,6,0.138149
-0.608114,5,0.14028
-0.361803,5,0.14225
-1.411803,4,0.143916
-1.411803,4,0.145667
1.621969,7,0.148754
-1.65,4,0.1508
12.391886,18,0.158607
8.9,14,0.165128
-1.411803,4,0.167193
2.391886,8,0.171035
0.35,6,0.173656
6.503275,12,0.179217
1.35,7,0.18273
13.412873,16,0.189155
2.229289,7,0.192109
4.682725,10,0.19657
-2.461803,3,0.197864
-2.608114,3,0.199297
-0.261803,5,0.201754
10.379289,15,0.207296
9.938197,15,0.213126
3.329289,8,0.216537
-1.608114,4,0.218428
-2.461803,3,0.219851
-2.65,3,0.221365
12.495161,18,0.228186
37.972511,43,0.244817
6.126393,9,0.248508
-1.65,4,0.250281
2.605741,8,0.253627
-1.608114,4,0.255374
3.429289,8,0.258706
0.391886,6,0.261309
8.088197,13,0.266459
5.938197,11,0.271365
26.503229,31,0.282615
8.99693,12,0.287957
-2.65,3,0.289392
2.938197,8,0.292889
2.85,8,0.296334
-1.070711,4,0.298083
4.129289,9,0.301938
2.35,8,0.305529
5.429289,10,0.309659
-1.65,4,0.311314
1.619333,7,0.314384
1.35,7,0.317664
1.503275,7,0.32072
-0.65,5,0.322858
-1.608114,4,0.3246
4.862467,10,0.32861
-3.608114,2,0.329664
-3.608114,2,0.330766
24.29083,29,0.341523
5.566575,11,0.345832
3.35,9,0.349541
5.566892,11,0.354283
-3.608114,2,0.355323
17.488197,22,0.363791
-1.608114,4,0.365607
-0.65,5,0.367908
0.605741,6,0.370583
-1.608114,4,0.372335
27.338197,32,0.384037
3.527617,9,0.387621
23.502265,27,0.398208
11.702633,17,0.404656
-3.608114,2,0.405736
-2.461803,3,0.407091
5.35,11,0.411618
4.1,7,0.414537
5.527617,11,0.419373
-3.608114,2,0.420404
4.391886,10,0.424363
10.088197,14,0.430134
25.841886,29,0.954568
-1.608114,4,0.956286
-3.608114,2,0.957312
9.679289,14,0.962502
19.495161,25,0.971735
-1.608114,4,0.973366
10.693203,16,0.979475
1.129289,6,0.982055
4.725658,10,0.986085
16.391886,22,0.993961
19.765076,23,1.003052
1.888197,7,1.005887
5.891886,11,1.009945
-1.070711,4,1.011686
11.35,17,1.01827
-1.65,4,1.020044
41.538197,45,1.036055
-2.65,3,1.037328
-2.65,3,1.03859
-1.070711,4,1.040203
1.605741,7,1.04289
43.295738,50,1.05987
-2.608114,3,1.061415
2.35,8,1.064931
27.587722,33,1.078064
-1.070711,4,1.079771
5.35,11,1.084452
-3.608114,2,1.08582
29.15,31,1.096877
6.988197,12,1.101873
-0.65,5,1.104432
-0.65,5,1.106637
10.25,13,1.113747
-1.65,4,1.116461
10.391886,16,1.123459
-1.65,4,1.125552
-2.65,3,1.128446
3.581399,9,1.134479
2.391886,8,1.138136
13.2,18,1.145156
-1.608114,4,1.147347
13.4,18,1.155245
-3.608114,2,1.15653
18.729289,22,1.165028
5.35,11,1.169401
-2.65,3,1.171584
36.5,41,1.188551
2.511389,8,1.191832
6.751317,12,1.196287
41.329289,43,1.211563
6.629289,11,1.216354
9.929289,14,1.22205
8.629289,13,1.227124
12.35,18,1.234093
9.679289,14,1.239566
2.807067,8,1.242894
43.457359,49,1.261265
26.75,30,1.27292
6.35,12,1.277347
9.1,14,1.2831
23.588197,28,1.293471
-3.608114,2,1.294518
-0.608114,5,1.296736
-2.608114,3,1.297979
-1.65,4,1.299617
0.029289,5,1.302127
-3.608114,2,1.30318
-3.608114,2,1.304166
1.391886,7,1.307162
12.141886,17,1.313373
1.888197,7,1.316159
6.988197,12,1.320766
33.15,34,1.333022
11.985879,17,1.33946
3.738197,9,1.34293
5.0,10,1.346613
16.207724,20,1.353951
15.729289,20,1.877575
3.391886,9,1.881375
29.138197,34,1.89467
-3.608114,2,1.89577
33.188197,37,1.90967
2.788197,8,1.913259
3.391886,9,1.917196
64.228848,65,1.940567
27.879289,31,1.951818
0.519503,6,1.954488
22.6,26,1.964344
6.991886,12,1.969339
-1.608114,4,1.971101
-2.65,3,1.972427
