#{"t_start": 1760874101.67724, "env_id": "None"}
r,l,t
-4.507836,119,0.939869
-6.932543,127,0.989531
-0.711346,52,1.010313
-12.072232,154,1.071998
-2.520132,67,1.098876
-5.089791,50,1.121586
-4.519072,69,1.148817
-2.707116,39,1.164009
-1.047256,49,1.183478
-17.519326,272,1.284231
-5.62788,73,1.314018
-4.693438,67,1.34359
-7.660427,141,1.401146
-2.010121,49,1.421506
-10.196271,97,1.461489
-4.120043,64,1.494245
-1.463377,49,1.514035
-1.725977,58,1.542287
-1.25969,67,1.573126
0.120605,34,1.588779
-1.680878,20,1.59831
-3.271408,87,1.631723
-1.695984,20,1.640692
-6.037267,60,1.664256
-0.134074,78,1.693938
-3.158846,121,2.817572
-1.640283,30,2.830559
0.415582,43,2.847544
-0.626869,28,2.859617
-2.00661,27,2.871007
-0.709721,32,2.886389
-0.478656,27,2.898184
-7.480645,319,3.020487
-0.656877,25,3.030457
-0.0472,57,3.053422
-0.854635,25,3.063924
-1.203106,26,3.075793
-2.911142,39,3.09318
-3.602736,70,3.124121
-0.98117,67,3.150803
0.061199,69,3.178183
0.061785,46,3.197566
-0.218568,26,3.210074
-1.474804,20,3.219367
-1.742893,60,3.242822
-1.209876,49,3.262418
0.922805,67,3.289612
-0.893635,35,3.304173
-0.140867,32,3.316625
0.894754,63,3.341886
-6.56134,70,3.369818
-1.288675,154,3.429244
-0.215166,52,3.449794
0.537763,50,3.472242
-1.287552,31,3.484478
0.381023,41,3.500571
-0.31008,31,3.513529
-1.861237,66,3.541382
0.341339,38,3.558134
-2.085008,92,3.598316
-1.137451,39,3.615288
-0.408844,25,3.626107
-0.695488,29,3.640724
-0.781528,22,4.900785
1.025991,52,4.922697
-0.70048,33,4.937459
4.147738,175,5.010686
-1.021946,30,5.026364
0.135952,37,5.044743
-0.589507,22,5.054701
0.150978,33,5.067679
-0.565063,42,5.086048
-1.313311,42,5.103464
3.26782,118,5.152097
-0.155135,31,5.167936
0.363726,55,5.194945
-0.133664,51,5.216354
0.008994,44,5.234499
3.026737,89,5.270588
-0.490849,31,5.282627
-0.525393,36,5.299622
4.199403,143,5.361784
0.807448,50,5.385265
0.917403,47,5.411187
0.74721,56,5.434363
0.847151,62,5.463849
-0.796744,30,5.489014
0.322915,63,5.516109
-1.955355,41,5.536617
