Timestep,Lap,LapTime
27864,1,0.11391973495483398
27865,2,0.0015056133270263672
27866,3,0.0011184215545654297
33797,1,2.0184364318847656
33798,2,0.0009672641754150391
33799,3,0.0009024143218994141
37432,1,0.08780169486999512
37433,2,0.0013358592987060547
37434,3,0.0010495185852050781
45626,1,0.10041642189025879
45627,2,0.0011658668518066406
45628,3,0.001102447509765625
46253,1,0.09268569946289062
46254,2,0.0010004043579101562
46255,3,0.0010139942169189453
48859,1,0.08009982109069824
48860,2,0.0011563301086425781
48861,3,0.0011065006256103516
50962,1,0.09534740447998047
50963,2,0.0017070770263671875
50964,3,0.0012633800506591797
59344,1,0.0829770565032959
59345,2,0.0016388893127441406
59346,3,0.0015649795532226562
67489,1,0.13057994842529297
67490,2,0.0009107589721679688
67491,3,0.0008983612060546875
67575,1,0.06311750411987305
67576,2,0.0009455680847167969
67577,3,0.0008580684661865234
76723,1,0.3216969966888428
76724,2,0.0011067390441894531
76725,3,0.0010738372802734375
88893,1,0.26134800910949707
88894,2,0.00202178955078125
88895,3,0.0018036365509033203
116667,1,0.14060664176940918
116668,2,0.0012221336364746094
116669,3,0.0009455680847167969
173954,1,0.10232138633728027
173955,2,0.0008227825164794922
173956,3,0.0009732246398925781
200423,1,0.19369077682495117
200424,2,0.0009675025939941406
200425,3,0.0008692741394042969
286053,1,1.6641499996185303
286054,2,0.001035928726196289
286055,3,0.0008554458618164062
