#{"t_start": 1760784164.8878198, "env_id": "None"}
r,l,t
10.572129,10,0.120251
4.747445,6,0.124931
8.746476,9,0.130813
2.56681,4,0.134143
2.664723,4,0.140199
2.673194,4,0.143599
1.30714,3,0.146112
2.52213,4,0.14933
1.309084,3,0.154598
2.532766,4,0.157584
0.266147,2,0.159219
1.402837,3,0.161791
2.627833,4,0.1672
6.569646,7,0.172207
11.131162,9,0.178095
0.267776,2,0.179912
0.232918,2,0.184197
0.3,2,0.186328
0.2,2,0.188503
0.2,2,0.190543
0.254274,2,0.194631
0.286801,2,0.196498
0.211819,2,0.198682
0.436945,2,0.200779
1.709412,3,0.205042
3.055073,4,0.211134
1.785581,3,0.293598
1.779568,3,0.411425
0.326108,2,0.478292
-0.892712,1,0.594387
-0.890185,1,0.655731
-0.9,1,0.743828
0.251428,2,0.795455
-0.9,1,0.875771
-0.9,1,0.924095
-0.9,1,1.002776
-0.9,1,1.0498
-0.9,1,1.130272
-0.9,1,1.177329
-0.9,1,1.261521
-0.9,1,1.307213
1.535754,3,1.389489
0.460785,2,1.434262
-0.9,1,1.511368
-0.9,1,1.562184
-0.9,1,1.670532
-0.9,1,1.715968
-0.9,1,1.792723
-0.9,1,1.839296
-0.9,1,1.916526
-0.9,1,1.960082
-0.9,1,2.037618
-0.9,1,2.085047
-0.9,1,2.162217
-0.9,1,2.207601
-0.9,1,2.28429
-0.9,1,2.329137
1.441399,3,2.409017
0.412084,2,2.454056
-0.9,1,2.532942
-0.9,1,2.581445
-0.9,1,2.660189
-0.9,1,2.704231
-0.9,1,2.779207
-0.9,1,2.825526
2.620857,4,2.90747
0.428717,2,2.954435
-0.9,1,3.032459
-0.9,1,3.0791
-0.9,1,3.157683
-0.9,1,3.201906
-0.9,1,3.282315
-0.9,1,3.330102
0.293775,2,3.417912
1.595204,3,3.4708
-0.9,1,3.552378
-0.9,1,3.602647
-0.9,1,3.687004
1.474428,3,3.736504
0.36218,2,3.822856
-0.9,1,3.873733
-0.9,1,3.948144
2.560647,4,3.996119
-0.814496,1,4.070668
-0.9,1,4.115728
-0.9,1,4.195709
-0.9,1,4.241252
1.409922,3,4.319752
0.393317,2,4.369369
-0.9,1,4.444957
-0.9,1,4.48878
-0.9,1,4.564758
1.406828,3,4.612083
-0.788277,1,4.687436
-0.9,1,4.729566
-0.9,1,4.80434
-0.9,1,4.849756
-0.9,1,4.928889
0.341009,2,4.978067
0.352904,2,5.059126
-0.9,1,5.108646
-0.9,1,5.188302
1.448968,3,5.235821
0.364777,2,5.314025
-0.9,1,5.360168
-0.9,1,5.436925
-0.9,1,5.479067
